Input,Output
brown house flying,"A bright brown house flying in a sketch style, --q 2"
yellow person dancing,"A vibrant yellow person dancing in a watercolor style, --v 4"
yellow tree lounging,"A eerie yellow tree lounging in a watercolor style, --no blur"
pink mountain climbing,"A whimsical pink mountain climbing in a photorealistic style, --hd"
yellow robot sleeping,"A whimsical yellow robot sleeping in a cyberpunk style, --stylize 1000"
yellow car jumping,"A futuristic yellow car jumping in a sketch style, --stylize 500"
brown bird sleeping,"A romantic brown bird sleeping in a surreal style, --v 4"
green mountain sleeping,"A whimsical green mountain sleeping in a steampunk style, --hd"
blue tree climbing,"A dark blue tree climbing in a sketch style, --hd"
purple cat swimming,"A romantic purple cat swimming in a oil painting style, --q 3"
pink mountain standing,"A bright pink mountain standing in a cyberpunk style, --v 4"
pink dog flying,"A dark pink dog flying in a steampunk style, --ar 16:9"
blue cat running,"A futuristic blue cat running in a surreal style, --hd"
black person climbing,"A serene black person climbing in a oil painting style, --stylize 500"
white car standing,"A futuristic white car standing in a digital art style, --v 5"
green person sleeping,"A eerie green person sleeping in a cyberpunk style, --hd"
yellow robot jumping,"A dramatic yellow robot jumping in a sketch style, --v 5"
blue car standing,"A futuristic blue car standing in a pop art style, --ar 4:3"
green person swimming,"A dramatic green person swimming in a sketch style, --no blur"
blue dragon climbing,"A mysterious blue dragon climbing in a sketch style, --stylize 1000"
brown dog lounging,"A eerie brown dog lounging in a steampunk style, --stylize 500"
white tree flying,"A whimsical white tree flying in a cyberpunk style, --v 5"
white mountain sitting,"A futuristic white mountain sitting in a sketch style, --v 4"
purple tree jumping,"A romantic purple tree jumping in a surreal style, --stylize 500"
green house sleeping,"A futuristic green house sleeping in a photorealistic style, --v 5"
white dog dancing,"A bright white dog dancing in a surreal style, --stylize 500"
green bird running,"A bright green bird running in a surreal style, --q 3"
orange car standing,"A mysterious orange car standing in a sketch style, --ar 4:3"
white robot flying,"A dramatic white robot flying in a minimalist style, --v 5"
black bird climbing,"A bright black bird climbing in a digital art style, --q 3"
brown tree sitting,"A dramatic brown tree sitting in a pop art style, --no blur"
purple dog sitting,"A dark purple dog sitting in a watercolor style, --v 5"
purple person sitting,"A mysterious purple person sitting in a oil painting style, --v 4"
white robot running,"A mysterious white robot running in a steampunk style, --hd"
pink car swimming,"A eerie pink car swimming in a surreal style, --stylize 500"
orange dog running,"A dramatic orange dog running in a photorealistic style, --no blur"
black bird standing,"A bright black bird standing in a cyberpunk style, --q 2"
black dog standing,"A eerie black dog standing in a digital art style, --hd"
blue tree dancing,"A mysterious blue tree dancing in a sketch style, --hd"
brown dragon swimming,"A vibrant brown dragon swimming in a minimalist style, --stylize 1000"
yellow mountain sitting,"A vibrant yellow mountain sitting in a oil painting style, --stylize 1000"
green dog swimming,"A whimsical green dog swimming in a sketch style, --stylize 1000"
black bird climbing,"A vibrant black bird climbing in a minimalist style, --stylize 1000"
black house sleeping,"A romantic black house sleeping in a cyberpunk style, --v 4"
pink car running,"A eerie pink car running in a pop art style, --ar 4:3"
black mountain sleeping,"A romantic black mountain sleeping in a photorealistic style, --stylize 1000"
purple dragon standing,"A eerie purple dragon standing in a minimalist style, --stylize 500"
white bird sitting,"A futuristic white bird sitting in a sketch style, --stylize 500"
orange cat sleeping,"A romantic orange cat sleeping in a cyberpunk style, --stylize 500"
yellow person lounging,"A dark yellow person lounging in a steampunk style, --stylize 1000"
blue robot sitting,"A romantic blue robot sitting in a sketch style, --q 3"
brown person flying,"A dramatic brown person flying in a minimalist style, --v 4"
black dragon running,"A mysterious black dragon running in a sketch style, --hd"
blue car sitting,"A whimsical blue car sitting in a cyberpunk style, --ar 16:9"
blue dog sleeping,"A dramatic blue dog sleeping in a surreal style, --stylize 1000"
orange dog jumping,"A serene orange dog jumping in a steampunk style, --q 2"
yellow dog lounging,"A whimsical yellow dog lounging in a oil painting style, --hd"
brown robot lounging,"A romantic brown robot lounging in a pop art style, --q 2"
red bird sitting,"A vibrant red bird sitting in a photorealistic style, --stylize 1000"
brown tree swimming,"A whimsical brown tree swimming in a oil painting style, --stylize 500"
white mountain sleeping,"A romantic white mountain sleeping in a surreal style, --stylize 500"
white cat jumping,"A dramatic white cat jumping in a pop art style, --v 5"
blue mountain sitting,"A vibrant blue mountain sitting in a steampunk style, --stylize 500"
yellow dragon flying,"A futuristic yellow dragon flying in a cyberpunk style, --ar 4:3"
purple dragon sleeping,"A vibrant purple dragon sleeping in a surreal style, --ar 4:3"
red dragon jumping,"A serene red dragon jumping in a pop art style, --q 3"
brown mountain swimming,"A vibrant brown mountain swimming in a oil painting style, --q 2"
blue robot climbing,"A dark blue robot climbing in a steampunk style, --ar 16:9"
purple bird sitting,"A mysterious purple bird sitting in a surreal style, --ar 16:9"
purple robot running,"A eerie purple robot running in a cyberpunk style, --stylize 1000"
pink house running,"A futuristic pink house running in a surreal style, --no blur"
brown tree lounging,"A futuristic brown tree lounging in a sketch style, --stylize 1000"
black person sitting,"A mysterious black person sitting in a pop art style, --ar 16:9"
black robot sitting,"A whimsical black robot sitting in a photorealistic style, --q 3"
green bird standing,"A dark green bird standing in a watercolor style, --v 4"
black tree lounging,"A vibrant black tree lounging in a cyberpunk style, --stylize 500"
orange house lounging,"A mysterious orange house lounging in a photorealistic style, --stylize 1000"
black bird dancing,"A dark black bird dancing in a digital art style, --stylize 1000"
purple tree jumping,"A eerie purple tree jumping in a pop art style, --ar 16:9"
brown dog lounging,"A serene brown dog lounging in a steampunk style, --v 5"
white mountain sitting,"A serene white mountain sitting in a watercolor style, --stylize 500"
orange tree sleeping,"A serene orange tree sleeping in a surreal style, --v 4"
white house dancing,"A bright white house dancing in a surreal style, --ar 16:9"
pink cat climbing,"A dramatic pink cat climbing in a digital art style, --stylize 1000"
black person flying,"A futuristic black person flying in a sketch style, --ar 4:3"
red mountain running,"A dark red mountain running in a pop art style, --v 5"
orange robot dancing,"A dramatic orange robot dancing in a watercolor style, --q 2"
brown dragon swimming,"A eerie brown dragon swimming in a photorealistic style, --ar 16:9"
brown mountain sitting,"A dark brown mountain sitting in a steampunk style, --v 5"
purple robot lounging,"A futuristic purple robot lounging in a cyberpunk style, --q 2"
pink tree standing,"A whimsical pink tree standing in a digital art style, --v 5"
black car dancing,"A serene black car dancing in a minimalist style, --hd"
yellow person sleeping,"A serene yellow person sleeping in a watercolor style, --ar 4:3"
pink house dancing,"A dramatic pink house dancing in a minimalist style, --q 2"
purple car running,"A bright purple car running in a steampunk style, --stylize 500"
black car sleeping,"A dramatic black car sleeping in a surreal style, --ar 4:3"
purple dragon swimming,"A vibrant purple dragon swimming in a watercolor style, --v 5"
black person jumping,"A serene black person jumping in a digital art style, --stylize 1000"
white mountain standing,"A dramatic white mountain standing in a digital art style, --hd"
yellow robot standing,"A eerie yellow robot standing in a surreal style, --v 5"
white tree swimming,"A vibrant white tree swimming in a oil painting style, --ar 4:3"
brown cat dancing,"A dark brown cat dancing in a steampunk style, --v 4"
red car running,"A vibrant red car running in a minimalist style, --ar 4:3"
orange cat standing,"A romantic orange cat standing in a photorealistic style, --no blur"
orange person dancing,"A eerie orange person dancing in a photorealistic style, --stylize 1000"
black cat running,"A whimsical black cat running in a steampunk style, --stylize 1000"
purple person lounging,"A romantic purple person lounging in a surreal style, --q 2"
blue cat sleeping,"A bright blue cat sleeping in a sketch style, --q 2"
brown person swimming,"A mysterious brown person swimming in a photorealistic style, --hd"
black house flying,"A vibrant black house flying in a oil painting style, --v 5"
black robot sitting,"A vibrant black robot sitting in a photorealistic style, --hd"
red person sleeping,"A eerie red person sleeping in a watercolor style, --stylize 1000"
green bird climbing,"A whimsical green bird climbing in a cyberpunk style, --q 2"
white person flying,"A serene white person flying in a digital art style, --q 3"
black bird running,"A futuristic black bird running in a oil painting style, --ar 16:9"
orange dog jumping,"A whimsical orange dog jumping in a steampunk style, --stylize 500"
red mountain standing,"A dark red mountain standing in a cyberpunk style, --no blur"
yellow house standing,"A dramatic yellow house standing in a cyberpunk style, --ar 4:3"
orange house swimming,"A vibrant orange house swimming in a cyberpunk style, --ar 16:9"
green house lounging,"A futuristic green house lounging in a digital art style, --v 4"
green cat lounging,"A vibrant green cat lounging in a sketch style, --ar 16:9"
black house running,"A whimsical black house running in a cyberpunk style, --ar 16:9"
yellow bird dancing,"A romantic yellow bird dancing in a digital art style, --v 4"
black bird swimming,"A romantic black bird swimming in a pop art style, --ar 16:9"
red robot swimming,"A serene red robot swimming in a minimalist style, --v 5"
purple dog dancing,"A whimsical purple dog dancing in a oil painting style, --ar 16:9"
green robot lounging,"A whimsical green robot lounging in a oil painting style, --q 2"
green tree standing,"A eerie green tree standing in a minimalist style, --stylize 1000"
black bird dancing,"A dramatic black bird dancing in a oil painting style, --ar 16:9"
white house running,"A eerie white house running in a surreal style, --q 2"
pink house jumping,"A serene pink house jumping in a sketch style, --ar 4:3"
purple cat sitting,"A dramatic purple cat sitting in a watercolor style, --stylize 1000"
white robot lounging,"A eerie white robot lounging in a sketch style, --stylize 1000"
purple mountain lounging,"A eerie purple mountain lounging in a digital art style, --ar 4:3"
black dog sleeping,"A whimsical black dog sleeping in a sketch style, --hd"
blue car flying,"A futuristic blue car flying in a cyberpunk style, --ar 16:9"
white tree sleeping,"A mysterious white tree sleeping in a watercolor style, --v 4"
red person sleeping,"A mysterious red person sleeping in a minimalist style, --hd"
green robot swimming,"A romantic green robot swimming in a photorealistic style, --no blur"
white robot sleeping,"A dramatic white robot sleeping in a watercolor style, --v 4"
blue bird swimming,"A futuristic blue bird swimming in a photorealistic style, --stylize 1000"
green bird flying,"A serene green bird flying in a pop art style, --v 5"
pink car swimming,"A bright pink car swimming in a cyberpunk style, --hd"
red cat flying,"A whimsical red cat flying in a minimalist style, --ar 16:9"
blue bird swimming,"A vibrant blue bird swimming in a cyberpunk style, --q 3"
pink dog running,"A dramatic pink dog running in a photorealistic style, --stylize 1000"
pink dragon standing,"A bright pink dragon standing in a surreal style, --hd"
red house running,"A futuristic red house running in a minimalist style, --stylize 1000"
purple dog sleeping,"A eerie purple dog sleeping in a steampunk style, --stylize 1000"
yellow dragon standing,"A vibrant yellow dragon standing in a surreal style, --stylize 1000"
red mountain sleeping,"A futuristic red mountain sleeping in a oil painting style, --stylize 500"
black bird jumping,"A dark black bird jumping in a cyberpunk style, --stylize 1000"
green house climbing,"A serene green house climbing in a sketch style, --v 5"
yellow mountain sleeping,"A vibrant yellow mountain sleeping in a cyberpunk style, --ar 16:9"
red house sitting,"A futuristic red house sitting in a surreal style, --stylize 1000"
black dog flying,"A romantic black dog flying in a steampunk style, --ar 4:3"
purple cat climbing,"A romantic purple cat climbing in a photorealistic style, --q 2"
brown car sitting,"A mysterious brown car sitting in a sketch style, --no blur"
blue house swimming,"A dramatic blue house swimming in a sketch style, --hd"
white dog jumping,"A dramatic white dog jumping in a surreal style, --hd"
blue house dancing,"A mysterious blue house dancing in a pop art style, --v 5"
brown mountain climbing,"A eerie brown mountain climbing in a watercolor style, --stylize 1000"
red dragon lounging,"A serene red dragon lounging in a pop art style, --no blur"
pink house lounging,"A dramatic pink house lounging in a sketch style, --stylize 500"
blue tree swimming,"A vibrant blue tree swimming in a sketch style, --q 3"
purple house sitting,"A serene purple house sitting in a minimalist style, --v 5"
blue house standing,"A romantic blue house standing in a surreal style, --q 2"
purple car running,"A whimsical purple car running in a watercolor style, --stylize 500"
white dog climbing,"A serene white dog climbing in a sketch style, --v 4"
blue person flying,"A dark blue person flying in a pop art style, --ar 16:9"
red robot running,"A whimsical red robot running in a digital art style, --no blur"
black car dancing,"A vibrant black car dancing in a surreal style, --v 4"
white house sleeping,"A bright white house sleeping in a oil painting style, --stylize 500"
red dragon standing,"A whimsical red dragon standing in a digital art style, --ar 16:9"
white car sitting,"A dramatic white car sitting in a digital art style, --q 3"
yellow dog sleeping,"A dramatic yellow dog sleeping in a sketch style, --q 3"
black dog lounging,"A futuristic black dog lounging in a cyberpunk style, --hd"
green dog standing,"A romantic green dog standing in a steampunk style, --no blur"
pink dragon lounging,"A eerie pink dragon lounging in a oil painting style, --q 2"
green cat running,"A eerie green cat running in a steampunk style, --hd"
yellow person sitting,"A vibrant yellow person sitting in a digital art style, --v 4"
yellow robot sleeping,"A dark yellow robot sleeping in a photorealistic style, --ar 4:3"
orange car sitting,"A bright orange car sitting in a cyberpunk style, --q 3"
yellow car swimming,"A dark yellow car swimming in a digital art style, --q 2"
purple mountain swimming,"A bright purple mountain swimming in a steampunk style, --q 3"
red cat sitting,"A serene red cat sitting in a minimalist style, --stylize 1000"
red tree swimming,"A mysterious red tree swimming in a photorealistic style, --no blur"
purple robot jumping,"A dramatic purple robot jumping in a minimalist style, --ar 4:3"
brown tree standing,"A eerie brown tree standing in a steampunk style, --hd"
purple dragon running,"A dark purple dragon running in a watercolor style, --q 3"
pink person flying,"A serene pink person flying in a cyberpunk style, --ar 16:9"
blue house standing,"A eerie blue house standing in a digital art style, --v 5"
red tree lounging,"A romantic red tree lounging in a sketch style, --stylize 500"
pink dog running,"A serene pink dog running in a minimalist style, --q 3"
red bird sitting,"A dramatic red bird sitting in a surreal style, --v 4"
pink cat lounging,"A romantic pink cat lounging in a pop art style, --hd"
brown mountain flying,"A romantic brown mountain flying in a minimalist style, --hd"
white car standing,"A dramatic white car standing in a pop art style, --stylize 500"
red cat flying,"A futuristic red cat flying in a watercolor style, --stylize 1000"
brown bird jumping,"A romantic brown bird jumping in a watercolor style, --ar 16:9"
yellow dog dancing,"A eerie yellow dog dancing in a surreal style, --q 3"
purple bird sleeping,"A serene purple bird sleeping in a sketch style, --stylize 500"
green robot sleeping,"A eerie green robot sleeping in a surreal style, --q 3"
black car lounging,"A whimsical black car lounging in a pop art style, --stylize 500"
pink person dancing,"A serene pink person dancing in a cyberpunk style, --ar 4:3"
yellow cat jumping,"A eerie yellow cat jumping in a digital art style, --no blur"
purple tree dancing,"A dramatic purple tree dancing in a surreal style, --v 4"
brown robot sleeping,"A dark brown robot sleeping in a photorealistic style, --stylize 500"
white dog climbing,"A romantic white dog climbing in a sketch style, --no blur"
red dog sleeping,"A eerie red dog sleeping in a pop art style, --no blur"
pink house flying,"A dark pink house flying in a cyberpunk style, --q 2"
blue mountain jumping,"A futuristic blue mountain jumping in a cyberpunk style, --v 5"
red person flying,"A eerie red person flying in a steampunk style, --stylize 500"
black tree swimming,"A eerie black tree swimming in a watercolor style, --q 2"
black bird swimming,"A whimsical black bird swimming in a sketch style, --v 5"
blue tree swimming,"A dark blue tree swimming in a surreal style, --q 3"
red house standing,"A romantic red house standing in a minimalist style, --v 5"
purple person climbing,"A eerie purple person climbing in a digital art style, --v 4"
green robot running,"A romantic green robot running in a photorealistic style, --stylize 500"
purple bird sleeping,"A vibrant purple bird sleeping in a photorealistic style, --v 5"
blue person flying,"A whimsical blue person flying in a minimalist style, --ar 4:3"
black car lounging,"A bright black car lounging in a sketch style, --q 3"
purple bird sleeping,"A dramatic purple bird sleeping in a photorealistic style, --q 2"
red house sleeping,"A bright red house sleeping in a surreal style, --stylize 500"
pink robot running,"A vibrant pink robot running in a pop art style, --no blur"
purple tree dancing,"A bright purple tree dancing in a watercolor style, --ar 16:9"
brown dog flying,"A bright brown dog flying in a minimalist style, --stylize 1000"
black house sleeping,"A dramatic black house sleeping in a minimalist style, --v 5"
red dragon swimming,"A bright red dragon swimming in a steampunk style, --v 5"
yellow car jumping,"A dark yellow car jumping in a steampunk style, --v 5"
blue person climbing,"A bright blue person climbing in a surreal style, --q 2"
purple person dancing,"A eerie purple person dancing in a sketch style, --ar 4:3"
yellow dragon lounging,"A eerie yellow dragon lounging in a sketch style, --q 2"
purple car flying,"A whimsical purple car flying in a minimalist style, --q 2"
white car sleeping,"A bright white car sleeping in a steampunk style, --ar 4:3"
yellow robot flying,"A futuristic yellow robot flying in a pop art style, --stylize 500"
red car standing,"A whimsical red car standing in a sketch style, --v 5"
blue dog sleeping,"A romantic blue dog sleeping in a digital art style, --ar 4:3"
yellow mountain lounging,"A romantic yellow mountain lounging in a watercolor style, --stylize 500"
yellow cat swimming,"A dramatic yellow cat swimming in a photorealistic style, --ar 4:3"
yellow cat running,"A whimsical yellow cat running in a photorealistic style, --stylize 1000"
red dragon jumping,"A serene red dragon jumping in a pop art style, --v 5"
green robot dancing,"A bright green robot dancing in a digital art style, --stylize 1000"
black person standing,"A serene black person standing in a surreal style, --ar 4:3"
black mountain sleeping,"A futuristic black mountain sleeping in a digital art style, --no blur"
white person lounging,"A dramatic white person lounging in a digital art style, --ar 16:9"
blue cat sitting,"A dramatic blue cat sitting in a sketch style, --v 5"
blue tree running,"A eerie blue tree running in a pop art style, --v 5"
red bird sitting,"A mysterious red bird sitting in a minimalist style, --hd"
orange robot standing,"A dramatic orange robot standing in a digital art style, --stylize 500"
white house flying,"A vibrant white house flying in a oil painting style, --hd"
red bird swimming,"A dramatic red bird swimming in a sketch style, --v 5"
orange mountain dancing,"A whimsical orange mountain dancing in a oil painting style, --ar 4:3"
orange mountain dancing,"A dramatic orange mountain dancing in a cyberpunk style, --ar 4:3"
white cat swimming,"A romantic white cat swimming in a pop art style, --q 3"
brown cat standing,"A futuristic brown cat standing in a minimalist style, --stylize 500"
orange robot jumping,"A serene orange robot jumping in a watercolor style, --stylize 1000"
purple dog sleeping,"A dark purple dog sleeping in a watercolor style, --hd"
red robot sleeping,"A dark red robot sleeping in a minimalist style, --v 5"
purple bird sleeping,"A futuristic purple bird sleeping in a sketch style, --q 3"
yellow robot running,"A eerie yellow robot running in a digital art style, --ar 4:3"
purple tree sitting,"A dramatic purple tree sitting in a cyberpunk style, --q 3"
pink dragon swimming,"A futuristic pink dragon swimming in a digital art style, --v 4"
pink person climbing,"A serene pink person climbing in a watercolor style, --stylize 1000"
green dog sleeping,"A mysterious green dog sleeping in a digital art style, --stylize 1000"
orange robot sleeping,"A mysterious orange robot sleeping in a pop art style, --stylize 1000"
red house swimming,"A bright red house swimming in a minimalist style, --stylize 500"
blue bird lounging,"A mysterious blue bird lounging in a minimalist style, --v 4"
black robot lounging,"A futuristic black robot lounging in a digital art style, --hd"
red mountain flying,"A mysterious red mountain flying in a watercolor style, --stylize 1000"
blue dragon swimming,"A dark blue dragon swimming in a surreal style, --ar 4:3"
black car climbing,"A vibrant black car climbing in a digital art style, --ar 4:3"
black dragon dancing,"A romantic black dragon dancing in a cyberpunk style, --ar 4:3"
orange robot jumping,"A dark orange robot jumping in a sketch style, --q 3"
brown robot dancing,"A bright brown robot dancing in a cyberpunk style, --v 5"
black cat sitting,"A whimsical black cat sitting in a steampunk style, --stylize 500"
yellow mountain jumping,"A mysterious yellow mountain jumping in a oil painting style, --q 3"
blue car standing,"A futuristic blue car standing in a watercolor style, --ar 16:9"
red mountain dancing,"A dark red mountain dancing in a oil painting style, --stylize 500"
orange mountain swimming,"A eerie orange mountain swimming in a minimalist style, --ar 4:3"
orange cat sitting,"A vibrant orange cat sitting in a pop art style, --v 5"
brown person sitting,"A eerie brown person sitting in a oil painting style, --ar 16:9"
orange house flying,"A whimsical orange house flying in a pop art style, --v 4"
white dog flying,"A bright white dog flying in a pop art style, --ar 16:9"
blue robot climbing,"A dark blue robot climbing in a minimalist style, --stylize 1000"
green mountain standing,"A eerie green mountain standing in a surreal style, --no blur"
red tree climbing,"A whimsical red tree climbing in a photorealistic style, --ar 16:9"
pink person sleeping,"A futuristic pink person sleeping in a sketch style, --hd"
green dog standing,"A romantic green dog standing in a photorealistic style, --stylize 1000"
green bird climbing,"A eerie green bird climbing in a oil painting style, --no blur"
blue person running,"A vibrant blue person running in a sketch style, --stylize 1000"
purple tree lounging,"A whimsical purple tree lounging in a photorealistic style, --no blur"
green person climbing,"A dramatic green person climbing in a watercolor style, --q 2"
red dragon sleeping,"A dark red dragon sleeping in a sketch style, --ar 4:3"
blue cat sitting,"A romantic blue cat sitting in a surreal style, --hd"
brown mountain jumping,"A serene brown mountain jumping in a steampunk style, --no blur"
brown person lounging,"A serene brown person lounging in a watercolor style, --ar 16:9"
red house jumping,"A dramatic red house jumping in a watercolor style, --stylize 1000"
pink dragon flying,"A mysterious pink dragon flying in a steampunk style, --stylize 1000"
yellow person climbing,"A eerie yellow person climbing in a steampunk style, --q 2"
white dragon sleeping,"A mysterious white dragon sleeping in a digital art style, --ar 16:9"
yellow tree flying,"A romantic yellow tree flying in a pop art style, --stylize 1000"
purple tree dancing,"A serene purple tree dancing in a watercolor style, --q 2"
blue dog sitting,"A serene blue dog sitting in a steampunk style, --hd"
red person jumping,"A vibrant red person jumping in a minimalist style, --v 4"
brown tree dancing,"A romantic brown tree dancing in a surreal style, --no blur"
brown dragon climbing,"A mysterious brown dragon climbing in a cyberpunk style, --v 4"
black dog swimming,"A serene black dog swimming in a sketch style, --no blur"
yellow dog jumping,"A futuristic yellow dog jumping in a digital art style, --stylize 1000"
green dragon flying,"A serene green dragon flying in a oil painting style, --ar 16:9"
purple dog sitting,"A eerie purple dog sitting in a surreal style, --no blur"
